desc_problema,ano,modelo_carro,categoria_problema,peca_problema
"O proprietário possui um Hyundai Tucson 2012. O proprietário relatou que havia um ruído de rangido quando o pedal do freio era pressionado, com a distância de frenagem sendo prolongada. O veículo foi levado a um mecânico independente, e o proprietário foi informado de que os rotores dos freios precisavam ser substituídos. Nenhuma concessionária foi contatada. O veículo não foi reparado. O fabricante não foi informado sobre a falha. A quilometragem do veículo no momento da falha era de aproximadamente 55.428 milhas.",2012,Tucson,Disco/Pastilha de Freio,Rotor de freio
"O proprietário possui um Hyundai Tucson 2018. O proprietário relatou que o veículo apresentou problemas desconhecidos de frenagem devido à falha dos rotores de freio. O veículo foi levado à concessionária, e foi informado ao proprietário que a falha era devido ao seu estilo de condução. O veículo não foi reparado. O proprietário afirmou que a falha havia ocorrido anteriormente e o veículo já havia sido levado à mesma concessionária para reparo. O fabricante foi informado sobre a falha, mas não ofereceu assistência adicional. A quilometragem do veículo no momento da falha era de aproximadamente 35.000 milhas",2018,Tucson,Disco/Pastilha de Freio,Rotor de freio
"O proprietário possui um Hyundai Azera 2015. O proprietário relatou que, ao dirigir em várias velocidades, havia uma vibração anormal vindo da parte dianteira do veículo. O veículo foi levado à concessionaria, onde foi informado que não havia defeitos no veículo. O veículo foi devolvido sem reparos. A falha persistiu, e o veículo foi levado de volta à mesma concessionária, onde foi diagnosticado com um rotor defeituoso. O proprietário pagou pelo reparo do próprio bolso. O fabricante não foi notificado sobre a falha. A quilometragem do veículo no momento da falha era de aproximadamente 7.000 milhas.",2015,Azera,Disco/Pastilha de Freio,Rotor de freio
"O contato possui um honda civic 2013. O contato informou que, enquanto acionava o pedal de freio, a parte da frente do veículo balançava e vibrava de maneira severa. o veículo foi levado a um mecânico independente, que indicou que o rotor de freio do lado do motorista estava rachado e precisava ser substituído. o rotor foi troca-do e o problema foi resolvido. o fabricante foi notificado do problema. a quantidade de milhas no momento do problema era de 84.000.",2013,Civic,Disco/Pastilha de Freio,Rotor de freio
"O contato possui um Jeep Renegade 2021. o contato informou que, enquanto dirigia, ouviu um barulho de batida e rangido vindo da área do nível da roda do lado do passageiro na frente. durante a aceleração e a parada, o contato ouviu um barulho de estalo vindo das rodas traseiras. o veículo foi levado à concessionaria. o concessionário informou que os rotors estavam fazendo o barulho e precisavam ser ajustados. o contato recebeu um retorno e foi informado de que os juntos esféricos e os rotors precisavam ser substituídos, juntamente com o eixo e os rolamentos das rodas. o veículo não foi reparado. ",2021,Renegade,Disco/Pastilha de Freio,Rotor de freio
"O contato possui um Honda Civic 2018. O contato informou que, ao pressionar o pedal de freio, um barulho anormal foi detectado. A luz de aviso do freio estava acesa. O contato afirmou que a pastilha de freio de um lado do disco estava completamente gasta, enquanto o outro lado do disco estava como novo, com uma pastilha grossa e cheia. O veículo foi levado ao concessionário local e o contato foi informado de que o rotor de freio precisava ser substituído. O veículo foi reparado. O fabricante foi notificado sobre a falha, mas nenhuma assistência adicional foi fornecida. A quilometragem no momento do problema era de aproximadamente 4.500. ",2018,Civic,Disco/Pastilha de Freio,Pastilha de freio
"O contato possui um Hyundai Tucson 2019. O contato informou que, ao dirigir a 30 mph, estava descendo uma estrada sinuosa. O contato pressionou o pedal de freio, que não parava completamente até que o contato pressionasse o pedal de freio até o fundo para o veículo parar. O contato teve que parar o veículo à beira da estrada e esperar alguns minutos para que o pedal de freio voltasse à posição normal. O contato conseguiu continuar dirigindo, mas agora está ouvindo um barulho de chiado vindo dos freios enquanto dirige. O contato levou o veículo a um concessionário local, que diagnosticou a falha como sendo a necessidade de substituição do rotor e do calibre dos freios de serviço. O veículo não foi reparado. A quilometragem no momento do problema era de aproximadamente 15.395.",2019,Tucson,Disco/Pastilha de Freio,Rotor de freio
"O contato possui um Hyundai Azera 2007. O contato informou que, ao dirigir em várias velocidades, um barulho anormal de batida vinha dos freios. À medida que a falha persistia, o veículo começava a desviar quando o pedal de freio era pressionado, aparecendo a mensagem de alerta ""puxe para o lado imediatamente, contate seu concessionário local"" e a luz de aviso do ABS no painel de instrumentos. O contato então levou o veículo a um concessionário, onde foi informado de que as pastilhas e os rotors de freio eram peças de mercado paralelo que causaram a falha e precisavam ser substituídos. O contato optou por não reparar o veículo; no entanto, à medida que a falha piorava, o contato teve o veículo rebocado de volta ao concessionário, onde diagnosticaram um braço de controle inferior defeituoso, além da falha nas pastilhas e nos rotors de freio. O contato recusou novamente o reparo e teve o veículo rebocado para a casa da irmã. O fabricante ainda não foi notificado da falha. A quilometragem no momento do problema era de aproximadamente 111.000.",2007,Azera,Disco/Pastilha de Freio,Pastilha de freio
"O contato possui um Jeep Renegade 2019. Ele relatou que, ao pressionar o pedal de freio, sentiu uma pulsação no pedal sem aviso prévio. Ao levar o veículo a uma concessionária, solicitou a verificação dos discos de freio para detectar possíveis defeitos. Recebeu um relatório de serviço informando que os discos precisavam ser substituídos. Ao levar o veículo de volta para casa, o contato inspecionou o veículo e descobriu corrosão em todos os quatro discos de freio. O contato retornou à concessionária, onde confirmaram a falha e informaram que não havia recall para o veículo e que os discos de freio não estavam cobertos pela garantia. O fabricante foi notificado da falha e ele registrou uma reclamação. O veículo ainda não foi reparado. A quilometragem na ocasião da falha era de aproximadamente 11.000.",2019,Renegade,Disco/Pastilha de Freio,Rotor de freio
"O contato possui um Hyundai Azera 2011. Ele relatou que um barulho de rangido anormal surgia dos freios quando as luzes de advertência do sistema de tração integral e da pressão dos pneus apareciam no painel de instrumentos. O contato levou o veículo a um mecânico independente, que descobriu corrosão severa em todo o chassi, principalmente na parte frontal do veículo. O mecânico substituiu o disco de freio do lado do passageiro traseiro e também informou que o veículo estava inseguro para dirigir devido à corrosão. Nem o revendedor nem o fabricante foram notificados da falha. A quilometragem na ocasião da falha era de aproximadamente 129.000.",2011,Azera,Disco/Pastilha de Freio,Pastilha de freio
"O contato possui um Honda Civic 2021. Ele relatou que, ao dirigir a 72 km/h, o veículo estava tremendo e vibrando com um som anormal. O contato também mencionou que, ao engatar a marcha à ré, um som alto e estrondoso vinha dos freios. Nenhuma luz de advertência estava acesa. O contato levou o veículo à concessionária para diagnóstico. Foi informado que os discos traseiros precisavam ser substituídos e que os freios estavam super aquecidos. O veículo foi reparado, mas o som dos freios retornou. O fabricante foi notificado da falha. A quilometragem na ocasião da falha era de aproximadamente 21.000.",2021,Civic,Disco/Pastilha de Freio,Rotor de freio
"O contato possui um Hyundai Tucson 2021. Ele relatou que a concessionária havia substituído os discos de freio duas vezes anteriormente, no entanto, a falha retornou com um barulho de metal contra metal enquanto o pedal de freio estava pressionado. O contato também mencionou que os freios falharam em parar o veículo imediatamente. Foi necessário reduzir manualmente a marcha para desacelerar o veículo. Além disso, após dirigir por um longo período, o volante começava a tremer e um odor de queimado era detectado enquanto o pedal de freio estava pressionado. O veículo foi levado à concessionária, onde foi diagnosticado que os discos precisavam ser substituídos. A quilometragem na ocasião da falha era de aproximadamente 25.000.",2021,Tucson,Disco/Pastilha de Freio,Rotor de freio
